country_code,capital,area,population,population_year,currency_code,national_day
AT,vienna,83879,8507786,2014,EUR,--10-26
BE,brussels,30528,11203992,2014,EUR,--07-21
BG,sofia,111002, 7245677,2014,BGN,--09-22
CY,nicosia,9251,858000,2014,EUR,--10-01
CZ,prague,78867,10512419,2014,CZK,--01-01
DE,berlin,357340,80780000,2014,EUR,--10-03
DK,copenhagen,42921,5627235,2014,DKK,--06-05
EE,tallinn,45227,1315819,2014,EUR,--02-24
EL,athens,131957,10992589,2014,EUR,--03-25
ES,madrid,505970,46507760,2014,EUR,--10-12
FI,helsinki,338435,5451270,2014,EUR,--12-06
FR,paris,632833,65856609,2014,EUR,--07-14
GB,london,248528,64308261,2014,EUR,
HR,zagreb,56594,4246700,2014,HRK,--10-08
HU,budapest,93024,9879000,2014,HUF,--08-20
IE,dublin,69797,4604029,2014,EUR,--04-24
IT,rome,302073,60782668,2014,EUR,--06-02
LT,vilnius,65300,2943472,2014,LTL,--03-11
LU,luxembourg,2586,549680,2014,EUR,--06-23
LV,riga,64573,2001468,2014,EUR,--05-04
MT,valletta,316,425384,2014,EUR,--09-21
NL,amsterdam,41540,16829289,2014,EUR,--04-27
PL,warsaw,312679,38495659,2014,PLN,--11-11
PT,lisbon,92225,10427301,2011,EUR,--12-01
RO,bucharest,238391,19942642,2014,RON,--05-10
SE,stockholm,438574,9644864,2014,EUR,--06-06
SK,bratislava,49035,5415949,2014,EUR,--07-17
SI,ljubljana,20273,2061085,2014,EUR,--12-26
