country_code,union_date,euro_date,schengen_date,exit_date
AT,1995-01-01,1999-01-01,2007-12-01,NULL
BE,1958-01-01,1999-01-01,1995-03-26,NULL
BG,2007-01-01,NULL,NULL,NULL
HR,2013-07-01,2023-01-01,2023-01-01,NULL
CY,2004-05-01,2008-01-01,,NULL
CZ,2004-05-01,NULL,2007-12-21,NULL
DK,1973-01-01,NULL,2001-03-25,NULL
EE,2004-01-01,2011-01-01,2007-12-21,NULL
FI,1995-01-01,1999-01-01,2001-03-25,NULL
FR,1958-01-01,1999-01-01,1995-03-26,NULL
DE,1958-01-01,1999-01-01,1995-03-26,NULL
EL,1981-01-01,2001-01-01,2000-01-01,NULL
HU,2004-01-01,NULL,2007-12-21,NULL
IE,1973-01-01,1999-01-01,,NULL
IT,1958-01-01,1999-01-01,1997-10-26,NULL
LV,2004-05-01,2014-01-01,2007-12-21,NULL
LT,2004-05-01,2015-01-01,2007-12-21,NULL
LU,1958-01-01,1999-01-01,1995-03-26,NULL
MT,2004-05-01,2008-01-01,2007-12-21,NULL
NL,1958-01-01,1999-01-01,1995-03-26,NULL
PL,2004-05-01,NULL,2007-12-21,NULL
PT,1986-01-01,1999-01-01,1995-03-26,NULL
RO,2007-01-01,NULL,NULL,NULL
SK,2004-05-01,2009-01-01,2007-12-21,NULL
SI,2004-05-01,2007-01-01,2007-12-21,NULL
ES,1986-01-01,1999-01-01,1995-03-26,NULL
SE,1995-01-01,NULL,2001-03-25,NULL
GB,1973-01-01,NULL,NULL,2020-01-31
